kind,detail
dup_disagree,"2017-05-01|[55.0, 54.8]"
chain_break,2023-02-01|-17.1|44.7
chain_break,2017-05-01|54.8|59.2
chain_break,2008-12-01|32.7|40.4
chain_break,2008-02-01|49.2|47.0
