kind,detail
dup_disagree,"2020-08-01|[45.2, 37.9]"
dup_disagree,"2008-12-01|[30.9, 39.3]"
chain_break,2026-04-01|-57.1|-31.4
chain_break,2026-01-01|-16.9|-18.7
chain_break,2024-08-01|-23.2|-20.7
chain_break,2023-01-01|-3.6|48.2
chain_break,2014-09-01|55.0|52.6
chain_break,2010-04-01|51.0|48.7
chain_break,2008-08-01|41.6|40.3
chain_break,2008-02-01|58.3|54.0
