kind,detail
dup_disagree,"2020-10-01|[1.0, 0.0]"
chain_break,2025-07-01|7.0|9.0
chain_break,2022-09-01|22.0|20.0
chain_break,2022-04-01|15.0|18.0
chain_break,2021-03-01|17.0|15.0
chain_break,2020-03-01|3.0|0.0
chain_break,2014-01-01|3.0|-3.0
