series,ref_month,value,source_pdf,release_date
aig_pmi,2004-01-01,14.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-02-01
aig_pmi,2004-02-01,4.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-03-01
aig_pmi,2004-03-01,8.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-04-01
aig_pmi,2004-04-01,16.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-05-01
aig_pmi,2004-05-01,6.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-06-01
aig_pmi,2004-06-01,2.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-07-01
aig_pmi,2004-07-01,11.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-08-01
aig_pmi,2004-08-01,4.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-09-01
aig_pmi,2004-09-01,0.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-10-01
aig_pmi,2004-10-01,5.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-11-01
aig_pmi,2004-11-01,7.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2004-12-01
aig_pmi,2004-12-01,15.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-01-01
aig_pmi,2005-01-01,11.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-02-01
aig_pmi,2005-02-01,4.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-03-01
aig_pmi,2005-03-01,2.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-04-01
aig_pmi,2005-04-01,5.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-05-01
aig_pmi,2005-05-01,1.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-06-01
aig_pmi,2005-06-01,9.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-07-01
aig_pmi,2005-07-01,0.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-08-01
aig_pmi,2005-08-01,-12.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-09-01
aig_pmi,2005-09-01,2.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-10-01
aig_pmi,2005-10-01,-5.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-11-01
aig_pmi,2005-11-01,-10.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2005-12-01
aig_pmi,2005-12-01,1.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-01-01
aig_pmi,2006-01-01,-0.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-02-01
aig_pmi,2006-02-01,-3.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-03-01
aig_pmi,2006-03-01,5.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-04-01
aig_pmi,2006-04-01,2.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-05-01
aig_pmi,2006-05-01,-3.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-06-01
aig_pmi,2006-06-01,10.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-07-01
aig_pmi,2006-07-01,-2.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-08-01
aig_pmi,2006-08-01,-1.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-09-01
aig_pmi,2006-09-01,4.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-10-01
aig_pmi,2006-10-01,2.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-11-01
aig_pmi,2006-11-01,7.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2006-12-01
aig_pmi,2006-12-01,6.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-01-01
aig_pmi,2007-01-01,5.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-02-01
aig_pmi,2007-02-01,15.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-03-01
aig_pmi,2007-03-01,7.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-04-01
aig_pmi,2007-04-01,4.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-05-01
aig_pmi,2007-05-01,10.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-06-01
aig_pmi,2007-06-01,5.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-07-01
aig_pmi,2007-07-01,15.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-08-01
aig_pmi,2007-08-01,3.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-09-01
aig_pmi,2007-09-01,-0.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-10-01
aig_pmi,2007-10-01,4.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-11-01
aig_pmi,2007-11-01,9.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2007-12-01
aig_pmi,2007-12-01,12.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-01-01
aig_pmi,2008-01-01,-6.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-02-01
aig_pmi,2008-02-01,2.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-03-02
aig_pmi,2008-03-01,2.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-03-31
aig_pmi,2008-04-01,5.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-05-01
aig_pmi,2008-05-01,2.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-06-02
aig_pmi,2008-06-01,-6.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-07-01
aig_pmi,2008-07-01,-6.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-07-31
aig_pmi,2008-10-01,-19.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2008-11-02
aig_pmi,2008-12-01,-32.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-01-01
aig_pmi,2009-01-01,-26.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-02-01
aig_pmi,2009-02-01,-36.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-03-01
aig_pmi,2009-03-01,-33.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-03-31
aig_pmi,2009-04-01,-39.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-05-01
aig_pmi,2009-05-01,-25.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-06-01
aig_pmi,2009-06-01,-23.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-07-01
aig_pmi,2009-07-01,-11.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-08-03
aig_pmi,2009-08-01,3.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-09-01
aig_pmi,2009-09-01,4.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-10-01
aig_pmi,2009-10-01,3.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-11-01
aig_pmi,2009-11-01,2.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2009-11-30
aig_pmi,2009-12-01,-3.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-01-03
aig_pmi,2010-01-01,2.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-01-31
aig_pmi,2010-02-01,7.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-02-28
aig_pmi,2010-03-01,0.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-03-31
aig_pmi,2010-04-01,19.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-05-03
aig_pmi,2010-05-01,12.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-06-01
aig_pmi,2010-06-01,5.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-07-01
aig_pmi,2010-07-01,8.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-08-02
aig_pmi,2010-08-01,3.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-09-01
aig_pmi,2010-09-01,-5.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-10-01
aig_pmi,2010-10-01,-1.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-10-31
aig_pmi,2010-11-01,-4.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2010-11-30
aig_pmi,2010-12-01,-7.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-01-03
aig_pmi,2011-01-01,-6.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-01-31
aig_pmi,2011-02-01,2.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-02-28
aig_pmi,2011-03-01,-4.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-03-31
aig_pmi,2011-04-01,-3.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-05-02
aig_pmi,2011-05-01,-4.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-06-01
aig_pmi,2011-06-01,5.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-07-01
aig_pmi,2011-07-01,-13.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-08-01
aig_pmi,2011-08-01,-13.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-09-01
aig_pmi,2011-09-01,-15.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-10-02
aig_pmi,2011-10-01,-5.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-10-31
aig_pmi,2011-11-01,-4.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2011-11-30
aig_pmi,2011-12-01,0.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-01-02
aig_pmi,2012-01-01,3.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-01-31
aig_pmi,2012-02-01,2.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-02-29
aig_pmi,2012-03-01,-1.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-04-02
aig_pmi,2012-04-01,-12.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-05-01
aig_pmi,2012-05-01,-15.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-06-01
aig_pmi,2012-06-01,-5.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-07-02
aig_pmi,2012-07-01,-19.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-08-01
aig_pmi,2012-08-01,-9.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-09-03
aig_pmi,2012-09-01,-11.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-10-01
aig_pmi,2012-10-01,-9.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-10-31
aig_pmi,2012-11-01,-12.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2012-12-02
aig_pmi,2012-12-01,-11.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-01-01
aig_pmi,2013-01-01,-19.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-01-31
aig_pmi,2013-02-01,-8.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-02-28
