date,value
1976-09-01,4.7
1976-10-01,4.8
1976-11-01,4.9
1976-12-01,5
1977-01-01,5.1
1977-02-01,5.2
1977-03-01,5.3
1977-04-01,5.4
1977-05-01,5.5
1977-06-01,5.6
1977-07-01,5.7
1977-08-01,5.8
1977-09-01,5.9
1977-10-01,5.9
1977-11-01,6.1
1977-12-01,6.2
1978-01-01,6.2
1978-02-01,6.2
1978-03-01,6.3
1978-04-01,6.4
1978-05-01,6.5
1978-06-01,6.7
1978-07-01,6.7
1978-08-01,6.8
1978-09-01,6.9
1978-10-01,7
1978-11-01,7.1
1978-12-01,7.2
1979-01-01,7.3
1979-02-01,7.4
1979-03-01,7.4
1979-04-01,7.5
1979-05-01,7.6
1979-06-01,7.7
1979-07-01,7.8
1979-08-01,7.9
1979-09-01,7.9
1979-10-01,8
1979-11-01,8.1
1979-12-01,8.1
1980-01-01,8.2
1980-02-01,8.3
1980-03-01,8.4
1980-04-01,8.5
1980-05-01,8.6
1980-06-01,8.7
1980-07-01,8.8
1980-08-01,8.9
1980-09-01,9
1980-10-01,9.1
1980-11-01,9.3
1980-12-01,9.5
1981-01-01,9.6
1981-02-01,9.7
1981-03-01,9.8
1981-04-01,10
1981-05-01,10.2
1981-06-01,10.5
1981-07-01,10.7
1981-08-01,10.8
1981-09-01,11
1981-10-01,11.2
1981-11-01,11.4
1981-12-01,11.6
1982-01-01,11.8
1982-02-01,11.9
1982-03-01,12
1982-04-01,12.2
1982-05-01,12.4
1982-06-01,12.5
1982-07-01,12.7
1982-08-01,12.7
1982-09-01,12.9
1982-10-01,13
1982-11-01,13.1
1982-12-01,13.3
1983-01-01,13.4
1983-02-01,13.6
1983-03-01,13.8
1983-04-01,14.1
1983-05-01,14.3
1983-06-01,14.4
1983-07-01,14.6
1983-08-01,14.7
1983-09-01,14.9
1983-10-01,15.1
1983-11-01,15.3
1983-12-01,15.6
1984-01-01,15.9
1984-02-01,16.1
1984-03-01,16.3
1984-04-01,16.8
1984-05-01,17.1
1984-06-01,17.2
1984-07-01,17.3
1984-08-01,17.5
1984-09-01,17.8
1984-10-01,18.1
1984-11-01,18.3
1984-12-01,18.7
1985-01-01,19
1985-02-01,19.3
1985-03-01,19.5
1985-04-01,19.9
1985-05-01,20.3
1985-06-01,20.7
1985-07-01,21.1
1985-08-01,21.2
1985-09-01,21.5
1985-10-01,21.9
1985-11-01,22.1
