date,value
1973-07-01,4871
1973-08-01,5130
1973-09-01,5180
1973-10-01,5089
1973-11-01,5436
1973-12-01,5419
1974-01-01,5917
1974-02-01,5783
1974-03-01,5773
1974-04-01,6364
1974-05-01,6270
1974-06-01,6427
1974-07-01,7668
1974-08-01,6619
1974-09-01,6278
1974-10-01,6482
1974-11-01,6458
1974-12-01,9086
1975-01-01,7977
1975-02-01,9314
1975-03-01,9174
1975-04-01,10038
1975-05-01,11104
1975-06-01,11651
1975-07-01,13704
1975-08-01,14206
1975-09-01,16664
1975-10-01,16721
1975-11-01,17860
1975-12-01,16578
1976-01-01,15725
1976-02-01,19752
1976-03-01,19772
1976-04-01,19089
1976-05-01,19507
1976-06-01,20993
1976-07-01,20284
1976-08-01,18907
1976-09-01,19652
1976-10-01,20492
1976-11-01,20795
1976-12-01,21586
1977-01-01,23215
1977-02-01,20553
1977-03-01,20032
1977-04-01,21134
1977-05-01,21799
1977-06-01,22453
1977-07-01,22581
1977-08-01,24118
1977-09-01,23096
1977-10-01,24747
1977-11-01,23379
1977-12-01,24453
1978-01-01,25017
1978-02-01,23881
1978-03-01,26068
1978-04-01,25441
1978-05-01,25156
1978-06-01,25262
1978-07-01,23172
1978-08-01,25653
1978-09-01,27129
1978-10-01,27205
1978-11-01,26378
1978-12-01,26374
1979-01-01,27045
1979-02-01,27140
1979-03-01,29017
1979-04-01,29964
1979-05-01,30793
1979-06-01,31446
1979-07-01,31182
1979-08-01,31347
1979-09-01,35717
1979-10-01,32884
1979-11-01,34198
1979-12-01,38353
1980-01-01,36906
1980-02-01,36790
1980-03-01,37167
1980-04-01,38590
1980-05-01,40627
1980-06-01,40971
1980-07-01,41379
1980-08-01,43984
1980-09-01,43633
1980-10-01,45649
1980-11-01,44127
1980-12-01,45615
1981-01-01,45624
1981-02-01,51402
1981-03-01,52339
1981-04-01,53747
1981-05-01,47272
1981-06-01,53104
1981-07-01,52100
1981-08-01,56119
1981-09-01,55545
1981-10-01,50283
1981-11-01,62045
1981-12-01,55763
1982-01-01,52716
1982-02-01,55384
1982-03-01,56374
1982-04-01,55036
1982-05-01,52294
1982-06-01,53714
1982-07-01,52905
1982-08-01,54070
1982-09-01,51543
1982-10-01,50636
1982-11-01,51132
1982-12-01,53311
1983-01-01,51129
1983-02-01,50329
1983-03-01,51850
1983-04-01,51893
1983-05-01,53750
1983-06-01,54132
1983-07-01,57560
1983-08-01,55953
1983-09-01,58551
1983-10-01,58692
1983-11-01,61731
1983-12-01,62331
1984-01-01,57468
1984-02-01,64265
1984-03-01,69876
1984-04-01,65499
1984-05-01,70596
1984-06-01,69949
1984-07-01,63819
1984-08-01,66338
1984-09-01,70203
1984-10-01,72544
1984-11-01,77446
1984-12-01,77073
1985-01-01,73538
1985-02-01,79490
