date,value
1983-07-01,8507
1983-08-01,8808
1983-09-01,9520
1983-10-01,9743
1983-11-01,9621
1983-12-01,10575
1984-01-01,9715
1984-02-01,10215
1984-03-01,10338
1984-04-01,10621
1984-05-01,10593
1984-06-01,10266
1984-07-01,10429
1984-08-01,10683
1984-09-01,9963
1984-10-01,10063
1984-11-01,10017
1984-12-01,9953
1985-01-01,10124
1985-02-01,9979
1985-03-01,10328
1985-04-01,11145
1985-05-01,10195
1985-06-01,10152
1985-07-01,10186
1985-08-01,10164
1985-09-01,9860
1985-10-01,10181
1985-11-01,9066
1985-12-01,8913
1986-01-01,9152
1986-02-01,8685
1986-03-01,8168
1986-04-01,7885
1986-05-01,7803
1986-06-01,8244
1986-07-01,7935
1986-08-01,7882
1986-09-01,7878
1986-10-01,7696
1986-11-01,7924
1986-12-01,8054
1987-01-01,7473
1987-02-01,7678
1987-03-01,7858
1987-04-01,7564
1987-05-01,7907
1987-06-01,7772
1987-07-01,8210
1987-08-01,8272
1987-09-01,8649
1987-10-01,9228
1987-11-01,9718
1987-12-01,9823
1988-01-01,9977
1988-02-01,9811
1988-03-01,10240
1988-04-01,10845
1988-05-01,10993
1988-06-01,11555
1988-07-01,11716
1988-08-01,12572
1988-09-01,12332
1988-10-01,11721
1988-11-01,11826
1988-12-01,11597
1989-01-01,11557
1989-02-01,11848
1989-03-01,11363
1989-04-01,11715
1989-05-01,10705
1989-06-01,9748
1989-07-01,8807
1989-08-01,8759
1989-09-01,8404
1989-10-01,8565
1989-11-01,8279
1989-12-01,8710
1990-01-01,8335
1990-02-01,8479
1990-03-01,8551
1990-04-01,8058
1990-05-01,8097
1990-06-01,8256
1990-07-01,7676
1990-08-01,7633
1990-09-01,7727
1990-10-01,7561
1990-11-01,8321
1990-12-01,7678
1991-01-01,8153
1991-02-01,7980
1991-03-01,7804
1991-04-01,7692
1991-05-01,8296
1991-06-01,8120
1991-07-01,8902
1991-08-01,8988
1991-09-01,9012
1991-10-01,9193
1991-11-01,8969
1991-12-01,8798
1992-01-01,8823
1992-02-01,9174
1992-03-01,9356
1992-04-01,9671
1992-05-01,9633
1992-06-01,9886
1992-07-01,10029
1992-08-01,9930
1992-09-01,9977
1992-10-01,10190
1992-11-01,10314
1992-12-01,10495
1993-01-01,10631
1993-02-01,10304
1993-03-01,10607
1993-04-01,10632
1993-05-01,10265
1993-06-01,10441
1993-07-01,10527
1993-08-01,10305
1993-09-01,10520
1993-10-01,10709
1993-11-01,10444
1993-12-01,10819
1994-01-01,10982
1994-02-01,10909
1994-03-01,10944
1994-04-01,11092
1994-05-01,11935
1994-06-01,11152
1994-07-01,10950
1994-08-01,11183
1994-09-01,10803
1994-10-01,10712
1994-11-01,10548
1994-12-01,9577
1995-01-01,9478
1995-02-01,9028
1995-03-01,8449
1995-04-01,8097
1995-05-01,8017
1995-06-01,8027
1995-07-01,7569
1995-08-01,7629
1995-09-01,7726
1995-10-01,7270
1995-11-01,7388
1995-12-01,7232
1996-01-01,7055
1996-02-01,7292
1996-03-01,7165
1996-04-01,7375
1996-05-01,6979
1996-06-01,7168
1996-07-01,7217
1996-08-01,7403
1996-09-01,7365
1996-10-01,7253
1996-11-01,7354
1996-12-01,7528
1997-01-01,7654
1997-02-01,7578
1997-03-01,8124
1997-04-01,8278
1997-05-01,8950
1997-06-01,7939
1997-07-01,7730
1997-08-01,8980
1997-09-01,8549
1997-10-01,8709
1997-11-01,8790
1997-12-01,8870
1998-01-01,9016
1998-02-01,9082
1998-03-01,9080
1998-04-01,9383
1998-05-01,9250
1998-06-01,9546
1998-07-01,9306
1998-08-01,8752
1998-09-01,8799
1998-10-01,8778
1998-11-01,8637
1998-12-01,8477
1999-01-01,8575
1999-02-01,8680
1999-03-01,9015
1999-04-01,9006
1999-05-01,9687
1999-06-01,9677
1999-07-01,10156
1999-08-01,10173
1999-09-01,10590
1999-10-01,10551
1999-11-01,11151
1999-12-01,11932
2000-01-01,11425
2000-02-01,11242
2000-03-01,10632
2000-04-01,9892
2000-05-01,8586
2000-06-01,7079
2000-07-01,5955
2000-08-01,6058
2000-09-01,6095
2000-10-01,6101
2000-11-01,6550
2000-12-01,6268
2001-01-01,6449
2001-02-01,6517
2001-03-01,6369
2001-04-01,7196
2001-05-01,8240
2001-06-01,8737
2001-07-01,9561
2001-08-01,10250
2001-09-01,10178
2001-10-01,10017
2001-11-01,10464
2001-12-01,10386
2002-01-01,10400
2002-02-01,10477
2002-03-01,10412
2002-04-01,10245
2002-05-01,10160
2002-06-01,10249
2002-07-01,10052
2002-08-01,10721
2002-09-01,9668
2002-10-01,9804
2002-11-01,9280
2002-12-01,9393
2003-01-01,9418
2003-02-01,9623
2003-03-01,9244
2003-04-01,9752
2003-05-01,9865
2003-06-01,10852
2003-07-01,10474
2003-08-01,10135
2003-09-01,10488
2003-10-01,10489
2003-11-01,10438
2003-12-01,10720
2004-01-01,10175
2004-02-01,9856
2004-03-01,10051
2004-04-01,10125
2004-05-01,9470
2004-06-01,9551
2004-07-01,9064
2004-08-01,9091
2004-09-01,8793
2004-10-01,8786
2004-11-01,8953
2004-12-01,8701
2005-01-01,9388
2005-02-01,8746
